timestamp,symbol,bid,ask,last,volume,source
2026-01-02T14:30:00Z,AAPL,187.120000,187.180000,187.150000,125000,fixture
2026-01-02T14:30:00Z,MSFT,421.150000,421.260000,421.200000,98000,fixture
2026-01-02T14:30:00Z,NVDA,890.350000,890.700000,890.500000,151000,fixture
2026-01-02T14:30:00Z,TSLA,248.600000,248.900000,248.750000,132000,fixture
2026-01-02T14:30:00Z,SPY,512.050000,512.150000,512.100000,275000,fixture
2026-01-02T14:31:00Z,AAPL,187.260000,187.340000,187.300000,132500,fixture
2026-01-02T14:31:00Z,MSFT,421.300000,421.420000,421.360000,101200,fixture
2026-01-02T14:31:00Z,NVDA,891.050000,891.450000,891.220000,160500,fixture
2026-01-02T14:31:00Z,TSLA,249.050000,249.300000,249.180000,140200,fixture
2026-01-02T14:31:00Z,SPY,512.180000,512.300000,512.240000,281000,fixture
2026-01-02T14:32:00Z,AAPL,187.000000,187.100000,187.050000,141000,fixture
2026-01-02T14:32:00Z,MSFT,421.020000,421.160000,421.090000,99050,fixture
2026-01-02T14:32:00Z,NVDA,889.900000,890.300000,890.050000,166000,fixture
2026-01-02T14:32:00Z,TSLA,248.150000,248.420000,248.300000,151300,fixture
2026-01-02T14:32:00Z,SPY,511.900000,512.020000,511.960000,289500,fixture
2026-01-02T14:33:00Z,AAPL,187.550000,187.660000,187.600000,148800,fixture
2026-01-02T14:33:00Z,MSFT,421.650000,421.780000,421.720000,104400,fixture
2026-01-02T14:33:00Z,NVDA,892.000000,892.500000,892.260000,172200,fixture
2026-01-02T14:33:00Z,TSLA,249.700000,250.050000,249.900000,165000,fixture
2026-01-02T14:33:00Z,SPY,512.450000,512.600000,512.530000,294100,fixture
2026-01-02T14:34:00Z,AAPL,187.360000,187.480000,187.420000,136200,fixture
2026-01-02T14:34:00Z,MSFT,421.480000,421.620000,421.540000,108900,fixture
2026-01-02T14:34:00Z,NVDA,891.600000,892.050000,891.820000,168700,fixture
2026-01-02T14:34:00Z,TSLA,249.200000,249.520000,249.380000,158300,fixture
2026-01-02T14:34:00Z,SPY,512.250000,512.390000,512.320000,301000,fixture
